"filename", "language", "JSON", "C++", "YAML", "Dart", "Markdown", "Groovy", "Properties", "XML", "Swift", "HTML", "comment", "blank", "total"
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/root/root_state.dart", "Dart", 0, 0, 0, -90, 0, 0, 0, 0, 0, 0, 0, -5, -95
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/search/search_bloc.dart", "Dart", 0, 0, 0, -64, 0, 0, 0, 0, 0, 0, -3, -9, -76
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/search/search_event.dart", "Dart", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -10, -31
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/bloc/search/search_state.dart", "Dart", 0, 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, -5, -38
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/models/custom_input.dart", "Dart", 0, 0, 0, -136, 0, 0, 0, 0, 0, 0, -9, -28, -173
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/models/name.dart", "Dart", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, -4, -22
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_edit_form.dart", "Dart", 0, 0, 0, -690, 0, 0, 0, 0, 0, 0, -15, -32, -737
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_edit_page.dart", "Dart", 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, -1, -5, -61
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_history_detail_page.dart", "Dart", 0, 0, 0, -156, 0, 0, 0, 0, 0, 0, -2, -11, -169
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_history_form.dart", "Dart", 0, 0, 0, -287, 0, 0, 0, 0, 0, 0, -142, -17, -446
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_history_page.dart", "Dart", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, -4, -32
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/custom_multiple_line_chart.dart", "Dart", 0, 0, 0, -119, 0, 0, 0, 0, 0, 0, -1, -18, -138
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/custom_single_line_chart.dart", "Dart", 0, 0, 0, -146, 0, 0, 0, 0, 0, 0, -1, -20, -167
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/line_chart.dart", "Dart", 0, 0, 0, -296, 0, 0, 0, 0, 0, 0, -9, -61, -366
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/line_series.dart", "Dart", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -3, -23
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/marker.dart", "Dart", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -3, -14
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/multiple_y_axis_line_chart_painter.dart", "Dart", 0, 0, 0, -342, 0, 0, 0, 0, 0, 0, -19, -59, -420
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/custom_line_chart/single_y_axis_line_chart_painter.dart", "Dart", 0, 0, 0, -419, 0, 0, 0, 0, 0, 0, -20, -69, -508
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/device_monitoring_chart_form.dart", "Dart", 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, 0, -9, -89
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/device_monitoring_chart_page.dart", "Dart", 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, 0, -4, -35
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/full_screen_multiple_line_chart_form.dart", "Dart", 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, 0, -7, -82
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/full_screen_single_line_chart_form.dart", "Dart", 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, -7, -109
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/monitoring_chart_display_form.dart", "Dart", 0, 0, 0, -108, 0, 0, 0, 0, 0, 0, 0, -9, -117
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/monitoring_chart_filter_form.dart", "Dart", 0, 0, 0, -448, 0, 0, 0, 0, 0, 0, -1, -26, -475
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/monitoring_chart_style.dart", "Dart", 0, 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, -11, -133
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/multiple_axis_chart_form.dart", "Dart", 0, 0, 0, -185, 0, 0, 0, 0, 0, 0, 0, -10, -195
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_monitoting_chart/single_axis_chart_form.dart", "Dart", 0, 0, 0, -242, 0, 0, 0, 0, 0, 0, -8, -13, -263
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_setting_form.dart", "Dart", 0, 0, 0, -755, 0, 0, 0, 0, 0, 0, -4, -45, -804
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_setting_style.dart", "Dart", 0, 0, 0, -736, 0, 0, 0, 0, 0, 0, 0, -89, -825
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/device_setting_tabbar.dart", "Dart", 0, 0, 0, -211, 0, 0, 0, 0, 0, 0, -2, -9, -222
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/group_edit_form.dart", "Dart", 0, 0, 0, -383, 0, 0, 0, 0, 0, 0, -2, -19, -404
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/group_edit_page.dart", "Dart", 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, -1, -5, -61
"/Users/henry.liang/projects_git/20230307/ricoms_app/lib/root/view/root_form.dart", "Dart", 0, 0, 0, -1166, 0, 0, 0, 0, 0, 0, -25, -52, -1243
